followers_count,hashtags,created_at,text
506790,[],Fri Mar 17 23:50:56 +0000 2017,"RT @Miles_Brundage: ""Using Human Brain Activity to Guide Machine Learning,"" Fong et al.: https://t.co/6qDZZNzUap"
266379,[],Sat Mar 18 00:28:44 +0000 2017,"RT @CornellEMBA: AI, Deep Learning, and Machine Learning: A Primer\n\nhttps://t.co/omDysgDE5k via @a16z"
155838,[],Sat Mar 18 00:30:24 +0000 2017,"R, Python, Machine Learning, Dataviz: Most Popular Resources https://t.co/a6nS0UXSom"
154932,[],Sat Mar 18 00:01:48 +0000 2017,The 10 Most Innovative Companies In AI/Machine Learning 2017 &gt;&gt; https://t.co/Gy1DHYkJ09 https://t.co/pZq2uy9qRU
108855,"['MachineLearning', 'cognitive', 'cloud', 'IBMinterconnect']",Sat Mar 18 00:22:54 +0000 2017,RT @evankirstel: IBM launches #MachineLearning #cognitive platform for the private #cloud https://t.co/OCqirJtmZi #IBMinterconnect\xe2\x80\xa6 
56089,[],Sat Mar 18 00:32:24 +0000 2017,a16z Podcast: The Edge in Machine Learning Startups by\xc2\xa0a16z https://t.co/sGIQ0Fr1Gl
51861,"['DataScience', 'Deal', 'Bargain']",Sat Mar 18 00:15:08 +0000 2017,#DataScience Learning #Deal:  Data Science: Supervised Machine Learning in Python #Bargain Udemy Course https://t.co/IUO2N0SIfm
50544,[],Sat Mar 18 00:03:14 +0000 2017,Why Machine Learning Moves the Needle for Marketers\nhttps://t.co/rfgSFC0y9q https://t.co/bMNxsUp9zc
43842,[],Sat Mar 18 00:19:16 +0000 2017,Machine Learning: Making Choice Simple On Mobile https://t.co/OEN6LlpnFY
38635,"['MachineLearning', 'cognitive', 'cloud', 'IBMinterconnect']",Fri Mar 17 23:59:48 +0000 2017,RT @evankirstel: IBM launches #MachineLearning #cognitive platform for the private #cloud https://t.co/OCqirJtmZi #IBMinterconnect\xe2\x80\xa6 
38635,"['IBMWatson', 'IBMwatson', 'IBMinterconnect']",Sat Mar 18 00:00:03 +0000 2017,RT @evankirstel: Chintu is an #IBMWatson powered robot https://t.co/XIEhOJipXr #IBMwatson #IBMinterconnect https://t.co/b1ibL27aZO
37475,[],Sat Mar 18 00:30:13 +0000 2017,RT @socialmediaweek: What Marketers Need to Know About Machine Learning for Social Listening 2.0 https://t.co/2VT5gcFbHO
29327,"['AAI17', 'AI', 'Uber']",Sat Mar 18 00:30:26 +0000 2017,Uber is rolling out a big redesign powered by machine learning\n#AAI17 #AI #Uber https://t.co/XkfwDlSwtC
