followers_count,urls,created_at,text
9743,['http://bit.ly/2kupHr9'],Fri Apr 14 18:02:15 +0000 2017,.@kaporcenter research article in @TheOfficialACM Insights highlights @LPFI SMASH Academy's computer science program https://t.co/awSHokteMM
5408,['http://www.Maths-Fi.com/offre-emploi-moa-finance-salle-de-marche-quant-developpeur-jeune-diplome-grande-ecole-master-banque-assurance-assurances-ingenieur-bale-analyste-quantitatif-java-j2ee-trader-trading-front-office-commando-informatique-vba-developpement-it/moodys-analytics-source-control-issue-tracking-developpement-computer-science-english-physics-emea-java-c-excel-vba-mathematics-credit-finance-it-modelling-bank-structured-finance-fixed-paris-saint-cloud-85.asp'],Fri Apr 14 18:00:02 +0000 2017,Career at Moody's Analytics SAS (France): Project Manager - Client Implemen... https://t.co/XRwOHXuxw0 Quant IB Finance jobs 108
4598,['https://twitter.com/slimTee09/status/852927081851867137'],Fri Apr 14 17:58:59 +0000 2017,RT @king_Bello7: Bastard\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/0vovoz7LWP
4598,['https://twitter.com/slimTee09/status/852927081851867137'],Fri Apr 14 17:59:15 +0000 2017,RT @yosheei: \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/frBOjYm7qk
4598,['https://twitter.com/slimtee09/status/852927081851867137'],Fri Apr 14 18:03:57 +0000 2017,RT @aphiz_works: \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 nice! \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd https://t.co/3L31FX3E3K
3550,['http://www.Maths-Fi.com/offre-emploi-moa-finance-salle-de-marche-quant-developpeur-jeune-diplome-grande-ecole-master-banque-assurance-assurances-ingenieur-bale-analyste-quantitatif-java-j2ee-trader-trading-front-office-commando-informatique-vba-developpement-it/moodys-analytics-source-control-issue-tracking-developpement-computer-science-english-physics-emea-java-c-excel-vba-mathematics-credit-finance-it-modelling-bank-structured-finance-fixed-paris-saint-cloud-86.asp'],Fri Apr 14 18:00:01 +0000 2017,Emploi Moody's Analytics SAS (Saint-Cloud - France):  Client Services et Support... https://t.co/PLux5fOWnJ Emploi Finance 105
3520,['http://ift.tt/2p3rfPk'],Fri Apr 14 18:04:36 +0000 2017,State Progress on K-12 Computer Science Ed Policies: 'We Have a Long Way to Go' https://t.co/2pOu9y5KFA by theofficialacm
1766,['https://twitter.com/Rayyy_Bell/status/852652119291310088'],Fri Apr 14 17:59:19 +0000 2017,RT @LaQuettaGlaze: Congrats beautiful! That's awesome!! https://t.co/FbU1gltIk2
978,['https://twitter.com/slimtee09/status/852927081851867137'],Fri Apr 14 18:01:49 +0000 2017,\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 nice! \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd https://t.co/3L31FX3E3K
370,['https://twitter.com/slimTee09/status/852927081851867137'],Fri Apr 14 18:04:54 +0000 2017,Ogbadun https://t.co/KS9rA2rpyB
162,['http://bit.ly/cgNvOI'],Fri Apr 14 18:00:05 +0000 2017,RT @CompSciFact: What computer science papers should everyone read? https://t.co/tXHaoNhooi
148,['http://bit.ly/cgNvOI'],Fri Apr 14 18:04:33 +0000 2017,RT @CompSciFact: What computer science papers should everyone read? https://t.co/tXHaoNhooi
93,['https://twitter.com/i/web/status/852946055473778688'],Fri Apr 14 18:06:01 +0000 2017,"Los Coyotes Kindergarten had Code Camp recently, where the entire day was devoted to computer science.  Sounds like\xe2\x80\xa6 https://t.co/MVMSUjZHYl"
82,['https://www.software.ac.uk/blog/2017-04-13-teaching-programming-outside-computer-science-departments'],Fri Apr 14 18:03:17 +0000 2017,RT @ProfTomCrick: Some interesting points here: Teaching programming outside computer science departments https://t.co/ABXuCUt3WM @Software\xe2\x80\xa6
16,['http://bit.ly/cgNvOI'],Fri Apr 14 17:59:04 +0000 2017,RT @CompSciFact: What computer science papers should everyone read? https://t.co/tXHaoNhooi
966,[],Fri Apr 14 18:05:57 +0000 2017,tfw you enter a computer science meeting room that's so gender-unbalanced it smells like a leather bar
903,[],Fri Apr 14 18:04:36 +0000 2017,RT @slimTee09: If u'r a fresh graduate who studied Computer Science or any Management course with NYSC certificate. Kindly keep ur CV in ur\xe2\x80\xa6
767,[],Fri Apr 14 17:59:08 +0000 2017,"Love seeing teachers, admins, profs, and industry come together for Computer Science for All @theSTEAMfactory https://t.co/dYaXf5KY6M"
458,[],Fri Apr 14 18:01:18 +0000 2017,RT @slimTee09: If u'r a fresh graduate who studied Computer Science or any Management course with NYSC certificate. Kindly keep ur CV in ur\xe2\x80\xa6
26,[],Fri Apr 14 17:59:42 +0000 2017,RT @ComputerSciNews: Computer Science is becoming more popular among students of all majors \xe2\x80\x94 even those in the humanities https://t.co/JLu\xe2\x80\xa6
