followers_count,urls,created_at,text
564506,['http://bit.ly/2oFDz4R'],Sat Apr 08 21:15:00 +0000 2017,Brain scans and machine learning programs are paving the way for a breakthrough in research on depression: https://t.co/zf04aHwUdc
79398,['http://bit.ly/2nMfoA7'],Sat Apr 08 21:19:13 +0000 2017,Open Source Machine Learning Degree | #MachineLearning #OpenSource #RT https://t.co/sjfmqg6l1r https://t.co/uz5waRfS1R
72655,['http://bit.ly/2nj9ECc'],Sat Apr 08 21:25:56 +0000 2017,RT @marianosirena: How\xc2\xa0to Blend Machine Learning Into Your #Marketing Strategy https://t.co/MxItI8LTIU via shaylaprice SessionCam #ecommerce
52652,['http://bit.ly/2noXY0V'],Sat Apr 08 21:06:08 +0000 2017,On the Blog | Machine Learning: The \xe2\x80\x9cNext Big Thing\xe2\x80\x9d in Education. https://t.co/uFwx99q1JR @drabkinron https://t.co/l8oL4JYvHc
52267,['http://bit.ly/2jUspp3'],Fri Apr 07 17:35:05 +0000 2017,#DataScience Learning #Deal:  Python for Data Science and Machine Learning Bootcamp #Bargain Udemy Course https://t.co/osKn9HPt9J
48117,['https://medium.com/@karpathy/a-peek-at-trends-in-machine-learning-ab8a1085a106'],Fri Apr 07 17:44:57 +0000 2017,"New quick blog post: ""A Peek at Trends in Machine Learning"" https://t.co/TXSzyQG6EZ a few ""Google Trends"" of ML papers on arxiv"
33897,['http://bit.ly/2nMfoA7'],Sat Apr 08 21:21:04 +0000 2017,RT @Ronald_vanLoon: Open Source Machine Learning Degree | #MachineLearning #OpenSource #RT https://t.co/sjfmqg6l1r https://t.co/uz5waRfS1R
24694,['http://ow.ly/pArN30aDjVG'],Sat Apr 08 02:02:25 +0000 2017,"RT @eGlobalLearning: ""Organizational learning matters as much as machine learning. "" https://t.co/LNZSoYlqlJ #Tech #AI #Workplace\xe2\x80\xa6 "
23525,['http://www.rightrelevance.com/search/articles?view=trending&orderBy=relevance&query=Machine%20Learning&days=2&taccount=ml_toparticles'],Sat Apr 08 01:15:09 +0000 2017,RT @ML_toparticles: Top Machine Learning articles from last 48 hrs https://t.co/1VXhJ2pXEK
17571,['http://ift.tt/1sCPnFG'],Sat Apr 08 02:00:17 +0000 2017,Bert Mouler on Algorithmic Trading &amp; Machine Learning tradingstory https://t.co/L0uUtKWawl #trading
