followers_count,urls,created_at,text
6311,['https://twitter.com/techcrunch/status/847579924911271936'],Thu Mar 30 22:43:31 +0000 2017,Amazing!! https://t.co/shNcWNxPQZ
4296,[],Thu Mar 30 22:44:08 +0000 2017,Thank you @elonmusk ! You make us dream again every day :) #spacex #falcon9 #believe
11276,[],Thu Mar 30 23:11:33 +0000 2017,SpaceX \xd0\xbe\xd1\x81\xd1\x83\xd1\x89\xd0\xb5\xd1\x81\xd1\x82\xd0\xb2\xd0\xb8\xd0\xbb\xd0\xb0 \xd0\xb7\xd0\xb0\xd0\xbf\xd1\x83\xd1\x81\xd0\xba Falcon 9 \xd1\x81 \xd0\xb8\xd1\x81\xd0\xbf\xd0\xbe\xd0\xbb\xd1\x8c\xd0\xb7\xd0\xbe\xd0\xb2\xd0\xb0\xd0\xbd\xd0\xbd\xd0\xbe\xd0\xb9 \xd1\x81\xd1\x82\xd1\x83\xd0\xbf\xd0\xb5\xd0\xbd\xd1\x8c\xd1\x8e
342002,['http://bit.ly/2ogmm4W'],Thu Mar 30 22:37:23 +0000 2017,WATCH LIVE: SpaceX launches its first recycled rocket in historic leap https://t.co/uJq7k9QPwp
6151,['http://bit.ly/2mU4a0A'],Thu Mar 30 22:43:19 +0000 2017,"SpaceX Launches, Returns Rocket From Space, Again https://t.co/QkbAM4ukgp"
79212,[],Thu Mar 30 22:41:47 +0000 2017,"SpaceX droneship named ""Of Course I Still Love You"" from Player of Games https://t.co/EwQmBkhd2f"
3425,[],Thu Mar 30 22:53:57 +0000 2017,@hankgreen are you watching the @SpaceX launch?
1579,[None],Thu Mar 30 22:39:26 +0000 2017,RT @johnkrausphotos: Liftoff of #SES10 from @nasakennedy LC-39A! #SpaceX makes history as they re-fly a \xe2\x80\x9cflight proven\xe2\x80\x9d #Falcon9 first s\xe2\x80\xa6
4349,['http://dlvr.it/NmHrKV'],Thu Mar 30 23:00:07 +0000 2017,SpaceX Makes History - The Atlantic https://t.co/TemR5fTReh
2010,['http://techdyno.com/spacexs-reused-falcon-9-rocket-nails-the-landing-for-a-second-time/'],Thu Mar 30 23:02:18 +0000 2017,RT @tech_dyno: SpaceX\xe2\x80\x99s reused Falcon 9 rocket nails the landing for a second\xc2\xa0time https://t.co/qTL4IdKiIQ https://t.co/Wc1BoRgDZm
2540,['http://fb.me/PmzVAKtw'],Thu Mar 30 22:41:03 +0000 2017,"March 30, 2017 at 06:39PM #""SpaceX today attempts first ever reflight of an orbital class rocket""... https://t.co/8npJT1nX1m"
3067,['http://www.teslarati.com/spacex-lands-used-falcon-9-rocket/'],Thu Mar 30 22:54:04 +0000 2017,RT @Teslarati: SpaceX makes history after landing used Falcon 9 rocket - https://t.co/oo03JXIktg https://t.co/2ycsEeqXNx
1209,[],Thu Mar 30 22:46:57 +0000 2017,RT @AmazingSpace2: #SpaceX @elonmusk Fly and Re-fly - speaking after the historic launch and landing of the re-used #Falcon9 https://t.co/W\xe2\x80\xa6
1388,[],Thu Mar 30 22:34:53 +0000 2017,RT @SpaceX: First stage entry burn complete. Second stage continuing nominally to geostationary transfer orbit. https://t.co/RXAzvT0xT0
1217,['https://twitter.com/TIME/status/847583746194677760'],Thu Mar 30 22:59:03 +0000 2017,La parte bella de esta loca y violenta era. https://t.co/uAfLyxq9Tr
4503,['https://twitter.com/sandro_pozzi/status/847578519546802176'],Thu Mar 30 23:01:16 +0000 2017,Impresionante!! Esto es el principio del fin de los cohetes de usar y tirar.\nCohetes reutilizables!!\n#ElonMunsk https://t.co/QS3CXiaVst
3997,[],Thu Mar 30 22:36:04 +0000 2017,RT @SpaceX: First stage entry burn complete. Second stage continuing nominally to geostationary transfer orbit. https://t.co/RXAzvT0xT0
4692,[None],Thu Mar 30 22:40:24 +0000 2017,RT @renailemay: This is an incredible milestone in the history of human space exploration. Re-usable rockets will change space econ\xe2\x80\xa6
2505,[],Thu Mar 30 22:37:54 +0000 2017,Hot diggity. SpaceX just launched and landed a previously used booster. Suwheeeet.
1847,"['http://j.mp/2m8BpbD', 'https://twitter.com/SpaceX/status/847571316580405250']",Thu Mar 30 22:47:29 +0000 2017,SpaceX: Webcast of Falcon 9 launch now live \xe2\x86\x92 https://t.co/QOyWrjm4kk |https://t.co/KpsHrTKtFK
2400,[],Thu Mar 30 22:28:38 +0000 2017,RT @geerlingguy: Ooh nice new camera views from #SpaceX today!
8714,['https://twitter.com/engadget/status/847579216610775040'],Thu Mar 30 22:58:52 +0000 2017,RT @info_dox: Holy shit. It worked. It fucking worked. You glorious motherfuckers. https://t.co/d7jkGRsTgC
1505,[],Thu Mar 30 22:47:22 +0000 2017,They said its impossible?\nYo fuck what they think. Do it anyway. @SpaceX
2790,['https://actualidad.rt.com/actualidad/234580-falcon9-spacex-aterriza-lanzar?utm_source=dlvr.it&utm_medium=twitter&utm_campaign=all'],Thu Mar 30 23:14:16 +0000 2017,El Falcon 9 de SpaceX aterriza con \xc3\xa9xito en una plataforma flotante https://t.co/VBMU9dycaU
65080,[],Thu Mar 30 22:45:30 +0000 2017,"\xd0\x9c\xd0\xb0\xd0\xba\xd1\x81 \xd0\xbd\xd0\xb5 \xd0\xbe\xd1\x87\xd0\xb5\xd0\xbd\xd1\x8c \xd0\xbc\xd0\xbe\xd0\xb3 \xd0\xb3\xd0\xbe\xd0\xb2\xd0\xbe\xd1\x80\xd0\xb8\xd1\x82\xd1\x8c, \xd0\xb1\xd1\x8b\xd0\xbb \xd0\xb7\xd0\xb0\xd0\xbc\xd0\xb5\xd1\x82\xd0\xbd\xd0\xbe \xd1\x81\xd1\x87\xd0\xb0\xd1\x81\xd1\x82\xd0\xbb\xd0\xb8\xd0\xb2. \xd0\x9f\xd0\xbe\xd0\xb4\xd0\xbf\xd0\xb8\xd1\x81\xd1\x8c \xd0\xbf\xd0\xbe\xd0\xb4 \xd0\xb2\xd0\xb8\xd0\xb4\xd0\xb5\xd0\xbe \xd0\xb7\xd0\xb0\xd0\xbf\xd1\x83\xd1\x81\xd0\xba\xd0\xb0 \xd1\x80\xd0\xb0\xd0\xba\xd0\xb5\xd1\x82\xd1\x8b ""SpaceX \xd0\xbd\xd0\xb0\xd0\xbd\xd0\xb8\xd0\xbc\xd0\xb0\xd0\xb5\xd1\x82 \xd0\xb8\xd0\xbd\xd0\xb6\xd0\xb5\xd0\xbd\xd0\xb5\xd1\x80\xd0\xbe\xd0\xb2, \xd0\xbf\xd0\xbe\xd0\xb4\xd0\xb0\xd0\xb9\xd1\x82\xd0\xb5 \xd0\xb7\xd0\xb0\xd1\x8f\xd0\xb2\xd0\xba\xd1\x83"""
1970,[],Thu Mar 30 22:55:27 +0000 2017,RT @Stray_Arrows: find you a man that looks at you the way @elonmusk looks at his reusable rockets  #spacex https://t.co/FVnUPPz2tZ
5685,['http://ow.ly/Gx3B50axqyl'],Thu Mar 30 22:31:29 +0000 2017,Watch live: SpaceX is about to try a 'potentially revolutionary' rocket launch https://t.co/ry635EnheL
17097,['http://dlvr.it/NmHkst'],Thu Mar 30 22:50:49 +0000 2017,There and back again: SpaceX launches and lands the same rocket for the 2nd time https://t.co/PZ8mQbzDsX https://t.co/bIge9wPbyy
1859,[None],Thu Mar 30 22:50:00 +0000 2017,RT @scriptunasphoto: They did it! SpaceX has successfully launched and landed a previously flown first stage. The future is bright!\xe2\x80\xa6
3931,['https://twitter.com/martycbs/status/847581542637555713'],Thu Mar 30 22:52:55 +0000 2017,Woooooo!!! \xf0\x9f\x9a\x80\xf0\x9f\x99\x8c\xf0\x9f\x98\x8e https://t.co/RgvJhz3gei
87055,['http://spacex.com/webcast'],Thu Mar 30 22:56:06 +0000 2017,RT @SpaceX: Liftoff! https://t.co/gtC39uBC7z
1498,[],Thu Mar 30 22:27:33 +0000 2017,RT @HeatherDSmith88: Ready for a launch! \r\r@SpaceX #SES10 https://t.co/GEaHvlCdRf
1853,['https://kobi5.com/?p=49877'],Thu Mar 30 22:29:03 +0000 2017,RT @KOBITV: WATCH LIVE: Historic #SpaceX launch window opens at 3:27 p.m. PST #KOBI5News\nhttps://t.co/wGb2OySDTH
3655,['https://youtu.be/xsZSXav4wI8'],Thu Mar 30 23:08:33 +0000 2017,#SpaceX success! \nhttps://t.co/26GFrdFn9L
20473,['https://twitter.com/i/web/status/847580742464921600'],Thu Mar 30 22:46:10 +0000 2017,"SpaceX and #Falcon9 made history today. We have the technology, it's time to build a planetary society to match.\xe2\x80\xa6 https://t.co/P07pw1YdcM"
7325,['http://www.theverge.com/2017/3/30/15114044/spacex-launch-live-stream-start-time-schedule-used-falcon-9-rocket'],Thu Mar 30 22:38:24 +0000 2017,Elon talking live now: https://t.co/zslq3K07Qe https://t.co/6ADQP8Kkwc
1547,[],Thu Mar 30 22:31:29 +0000 2017,Spaceflight is AMAZING! Thank you @SpaceX! What an event.
16748,['http://ift.tt/2nFbigd'],Thu Mar 30 23:06:33 +0000 2017,Watch live: SpaceX is about to try a 'potentially revolutionary' rocket launch https://t.co/iMy6s94CRT #ROIMentor
3577,['http://www.theverge.com/2017/3/30/15114044/spacex-launch-live-stream-start-time-schedule-used-falcon-9-rocket'],Thu Mar 30 22:27:23 +0000 2017,RT VergeScience: Weather is a go for SpaceX\xe2\x80\x99s first used #Falcon9 rocket launch https://t.co/EIyyfpF9qf
14986,[],Thu Mar 30 22:35:52 +0000 2017,RT @SpaceX: First stage entry burn complete. Second stage continuing nominally to geostationary transfer orbit. https://t.co/RXAzvT0xT0
7920,[],Thu Mar 30 22:48:17 +0000 2017,"RT @guitaricet: Launch, land, repeat. #SpaceX"
1511,[],Thu Mar 30 22:41:52 +0000 2017,"SpaceX just revolutionized space flight. So fucking sick, makes me wanna try being an aerospace engineer again"
12381,['https://twitter.com/tooteedup/status/847579202782060545'],Thu Mar 30 22:42:05 +0000 2017,\xf0\x9f\x91\x89 #ImNotABot \xf0\x9f\x91\x88.  \xf0\x9f\x91\x89\xf0\x9f\x91\x89\xf0\x9f\x91\x89\xf0\x9f\x91\x89\xf0\x9f\x91\x89\xf0\x9f\x91\x89#ImNotABot \xf0\x9f\x91\x88#SenateIntelligenceCommittee #SpaceX #30PlusAppreciation  no you not a bot https://t.co/Xruk0JQBIb
2133,[None],Thu Mar 30 22:36:40 +0000 2017,"RT @ABC: NEW: SpaceX\xc2\xa0launches its first recycled rocket, the Falcon 9, from the pad at\xc2\xa0NASA's Kennedy Space Center\xc2\xa0in Florid\xe2\x80\xa6 "
1875,[],Thu Mar 30 22:47:41 +0000 2017,thank you for creating history @SpaceX
5414,['http://dlvr.it/NmHkx8'],Thu Mar 30 22:50:52 +0000 2017,There and back again: SpaceX launches and lands the same rocket for the 2nd time https://t.co/5i5O1qSbjA https://t.co/NguGBZDBvW
3467,['https://twitter.com/mirikramer/status/847576941720940544'],Thu Mar 30 22:36:51 +0000 2017,"It\'s really too bad that not all ""billionaires"" are as smart as @elonmusk. https://t.co/4zefala83a"
2545,[None],Thu Mar 30 22:50:07 +0000 2017,RT @NASA: Congrats @SpaceX on another historic launch! Our iconic launch pads at @NASAKennedy continue to support the growing\xe2\x80\xa6
2336,['https://www.instagram.com/p/BSR3AGHBMry/'],Thu Mar 30 22:29:05 +0000 2017,T-minus 3 min to spacex launch window. First ever re-launch of a rocket like this....this rocket\xe2\x80\xa6 https://t.co/JUGPc147Z3
11939,[],Thu Mar 30 22:30:15 +0000 2017,RT @TimOster: \xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80Replay of today's #Falcon9 rocket landing on @SpaceX droneship-@ElonMusk #OCISLY #OfCourseIStillLoveYou #SpaceX https://\xe2\x80\xa6
4519,['http://ift.tt/2oewVVK'],Thu Mar 30 22:57:11 +0000 2017,"""SpaceX Launches a Satellite With a Partly Used Rocket"" by KENNETH CHANG via NYT The New York Times https://t.co/VakInM7Ro8"
4798,['http://lat.ms/2mTMVN0'],Thu Mar 30 22:26:32 +0000 2017,RT @latimes: SpaceX set to make history by launching satellite on recycled rocket https://t.co/3Hd8zBVgJ2
1475,['https://www.wired.com/2017/03/watch-spacex-launch-first-truly-reusable-rocket/?mbid=social_twitter_onsiteshare'],Thu Mar 30 22:40:28 +0000 2017,RT @LoQueSigue_: Watch SpaceX Launch Its First Truly Reusable Rocket https://t.co/Ub1aX9opOt v\xc3\xada @WIRED
2303,[None],Thu Mar 30 22:45:57 +0000 2017,RT @NASA: Congrats @SpaceX on another historic launch! Our iconic launch pads at @NASAKennedy continue to support the growing\xe2\x80\xa6
2517,['http://www.spacex.com/webcast'],Thu Mar 30 22:26:24 +0000 2017,Raketenstart nao. https://t.co/MujBfpTkF2 #spacex #SES10
3831,['https://twitter.com/SpaceX/status/847578231808991232'],Thu Mar 30 22:40:57 +0000 2017,RT @SciGuySpace: Let's go fly it again. https://t.co/GPHJlI3pjX
2307,['https://goo.gl/fb/G1Wk0m'],Thu Mar 30 22:27:21 +0000 2017,Watch SpaceX relaunch the first rocket it landed on a barge https://t.co/VZWGJQHJjc #10toptips
5565,['http://bbc.in/2nFmwBb'],Thu Mar 30 23:09:32 +0000 2017,RT @BBCWorld: Success for SpaceX 're-usable rocket' https://t.co/NLoIFKrXGw
2115,[],Thu Mar 30 22:37:23 +0000 2017,RT @mirikramer: GO BABY GO. #SpaceX #Falcon9 https://t.co/ISgwsMoLso
1190,['http://www.theverge.com/2017/3/30/15114044/spacex-launch-live-stream-start-time-schedule-used-falcon-9-rocket'],Thu Mar 30 22:25:06 +0000 2017,"RT @mslopatto: \xf0\x9f\x9a\x80Get excited, this is SpaceX\xe2\x80\x99s attempt to reuse a rocket to get to space. \xf0\x9f\x9a\x80 Livestream is here https://t.co/SYycG8lqpY"
1309,"['http://tcrn.ch/2nQqHLa', None]",Thu Mar 30 23:05:20 +0000 2017,RT @TechCrunch: SpaceX successfully re-launches an orbital Falcon 9 rocket for the first time https://t.co/UGNrJjwKIS by\xe2\x80\xa6
6021,[],Thu Mar 30 23:02:51 +0000 2017,"RT @BadAstronomer: And SES-10 deployed! The primary and secondary missions both completed. Holy wow, @SpaceX. Nicely done."
1420,[],Thu Mar 30 22:41:19 +0000 2017,Congratulations to @SpaceX and their team for bringing the future of spaceflight a lot closer with this successful launch and landing!
1198,[],Thu Mar 30 23:00:40 +0000 2017,RT @SpaceX: Successful deployment of SES-10 to geostationary transfer orbit confirmed. https://t.co/FkVoUYSsmq
2085,['https://twitter.com/TimOster/status/736384365605879808'],Thu Mar 30 22:43:27 +0000 2017,RT @zombie_nyc: \xd0\xba\xd1\x80\xd1\x83\xd1\x82\xd0\xbe\rhttps://t.co/nlaDSZHUyr
7719,['http://engt.co/2nQDD3x'],Thu Mar 30 23:04:35 +0000 2017,SpaceX successfully relaunched a Falcon 9 rocket https://t.co/jIG1J5Gu8i https://t.co/fzOFd3VkLk
1451,[None],Thu Mar 30 22:46:40 +0000 2017,"RT @News6James: BREAKING: Spaceflight History - @elonmusk and @SpaceX launch, land world's first reusable rocket #Falcon9\xe2\x80\xa6 "
5984,['http://pops.ci/5JKq38'],Thu Mar 30 23:12:38 +0000 2017,"RT @PopSci: SpaceX just flew a used rocket for the first time\xe2\x80\x94and stuck the landing, too https://t.co/ALjoglhKu1 #Falcon9 https://t.co/CcJq\xe2\x80\xa6"
220736,['http://kommersant.ru/doc/3256987'],Thu Mar 30 22:58:13 +0000 2017,SpaceX \xd1\x83\xd1\x81\xd0\xbf\xd0\xb5\xd1\x88\xd0\xbd\xd0\xbe \xd0\xb7\xd0\xb0\xd0\xbf\xd1\x83\xd1\x81\xd1\x82\xd0\xb8\xd0\xbb\xd0\xb0 \xd0\xb2 \xd0\xba\xd0\xbe\xd1\x81\xd0\xbc\xd0\xbe\xd1\x81 \xd0\xb8\xd1\x81\xd0\xbf\xd0\xbe\xd0\xbb\xd1\x8c\xd0\xb7\xd0\xbe\xd0\xb2\xd0\xb0\xd0\xb2\xd1\x88\xd0\xb8\xd0\xb9\xd1\x81\xd1\x8f \xd0\xbd\xd0\xbe\xd1\x81\xd0\xb8\xd1\x82\xd0\xb5\xd0\xbb\xd1\x8c https://t.co/LAhsOYl30n
3960,['https://www.youtube.com/watch?v=xsZSXav4wI8'],Thu Mar 30 22:40:29 +0000 2017,Hell yeah!!! @spacex @elonmusk https://t.co/dT9aqrKpW3
